U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.000200,0.000000
0.100000,0.021400,0.000000
0.200000,0.085400,0.000000
0.300000,0.209600,0.000000
0.400000,0.287900,0.000000
0.500000,0.413200,0.000000
0.600000,0.496300,0.000000
0.700000,0.570300,0.000000
0.800000,0.779000,0.000000
0.900000,0.870000,0.000000
1.000000,0.986000,0.000000
1.100000,1.077000,0.000000
1.200000,1.186000,0.000000
1.300000,1.289000,0.000000
1.400000,1.388000,0.000000
1.500000,1.482000,0.000010
1.600000,1.578000,0.000010
1.700000,1.683000,0.000010
1.800000,1.781000,0.000010
1.900000,1.807000,0.000010
2.000000,1.980000,0.000010
2.100000,2.085000,0.000020
2.200000,2.186000,0.000020
2.300000,2.285000,0.000020
2.400000,2.383000,0.000020
2.500000,2.487000,0.000020
2.600000,2.489000,0.000020
2.700000,2.678000,0.000030
2.800000,2.742000,0.000040
2.900000,2.881000,0.000040
3.000000,2.940000,0.000050
3.100000,3.075000,0.000050
3.200000,3.183000,0.000060
3.300000,3.272000,0.000060
3.400000,3.383000,0.000060
3.500000,3.486000,0.000070
3.600000,3.581000,0.000080
3.700000,3.587000,0.000100
3.800000,3.785000,0.000100
3.900000,3.889000,0.000110
4.000000,3.980000,0.000120
4.100000,4.082000,0.000130
4.200000,4.182000,0.000150
4.300000,4.272000,0.000160
4.400000,4.383000,0.000170
4.500000,4.485000,0.000190
4.600000,4.586000,0.000200
4.700000,4.686000,0.000220
4.800000,4.787000,0.000250
4.900000,4.882000,0.000280
5.000000,4.988000,0.000310
5.100000,5.083000,0.000330
5.200000,5.190000,0.000390
5.300000,5.283000,0.000430
5.400000,5.383000,0.000480
5.500000,5.482000,0.000580
5.600000,5.586000,0.000650
5.700000,5.686000,0.000910
5.800000,5.786000,0.001100
5.900000,5.887000,0.001330
6.000000,5.985000,0.001640
6.100000,5.985000,0.002040
6.200000,6.190000,0.002560
6.300000,6.220000,0.003250
6.400000,6.390000,0.004180
6.500000,6.430000,0.005350
6.600000,6.510000,0.006780
6.700000,6.630000,0.008800
6.800000,6.700000,0.011390
6.900000,6.820000,0.013910
7.000000,6.890000,0.018980
