U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.000600,-0.000003
0.100000,-0.048400,-0.000003
0.200000,-0.077400,-0.000003
0.300000,-0.186200,-0.000003
0.400000,-0.270000,-0.000003
0.500000,-0.436800,-0.000003
0.600000,-0.550500,-0.000003
0.700000,-0.599900,-0.000003
0.800000,-0.786000,-0.000003
0.900000,-0.887000,-0.000004
1.000000,-0.987000,-0.000004
1.100000,-1.083000,-0.000004
1.200000,-1.187000,-0.000004
1.300000,-1.289000,-0.000004
1.400000,-1.388000,-0.000004
1.500000,-1.482000,-0.000004
1.600000,-1.583000,-0.000004
1.700000,-1.681000,-0.000004
1.800000,-1.785000,-0.000004
1.900000,-1.881000,-0.000004
2.000000,-1.985000,-0.000005
2.100000,-2.084000,-0.000005
2.200000,-2.186000,-0.000005
2.300000,-2.286000,-0.000005
2.400000,-2.387000,-0.000005
2.500000,-2.487000,-0.000005
2.600000,-2.589000,-0.000005
2.700000,-2.681000,-0.000005
2.800000,-2.782000,-0.000005
2.900000,-2.883000,-0.000005
3.000000,-2.976000,-0.000006
3.100000,-3.083000,-0.000006
3.200000,-3.182000,-0.000006
3.300000,-3.285000,-0.000006
3.400000,-3.285000,-0.000006
3.500000,-3.487000,-0.000006
3.600000,-3.488000,-0.000006
3.700000,-3.586000,-0.000006
3.800000,-3.768000,-0.000007
3.900000,-3.888000,-0.000007
4.000000,-3.978000,-0.000006
4.100000,-4.043000,-0.000006
4.200000,-4.179000,-0.000007
4.300000,-4.279000,-0.000007
4.400000,-4.299000,-0.000007
4.500000,-4.480000,-0.000007
4.600000,-4.536000,-0.000007
4.700000,-4.684000,-0.000007
4.800000,-4.742000,-0.000008
4.900000,-4.787000,-0.000008
5.000000,-4.989000,-0.000008
5.100000,-5.090000,-0.000008
5.200000,-5.190000,-0.000008
5.300000,-5.277000,-0.000008
5.400000,-5.383000,-0.000008
5.500000,-5.484000,-0.000009
5.600000,-5.586000,-0.000009
5.700000,-5.683000,-0.000009
5.800000,-5.787000,-0.000010
5.900000,-5.887000,-0.000010
6.000000,-5.985000,-0.000010
6.100000,-5.986000,-0.000010
6.200000,-6.150000,-0.000011
6.300000,-6.300000,-0.000011
6.400000,-6.320000,-0.000011
6.500000,-6.500000,-0.000011
6.600000,-6.540000,-0.000012
6.700000,-6.580000,-0.000012
6.800000,-6.710000,-0.000012
6.900000,-6.890000,-0.000013
7.000000,-6.900000,-0.000013
