R Given (Ohm), U (V), I (A)
1.000000,0.017400,-0.000330
1.000000,0.017200,-0.000329
2.000000,0.017500,-0.000329
3.000000,0.017800,-0.000328
5.000000,0.018400,-0.000328
7.000000,0.019100,-0.000327
10.000000,0.020100,-0.000327
15.000000,0.021600,-0.000327
22.000000,0.023900,-0.000327
32.000000,0.027100,-0.000326
46.000000,0.031700,-0.000326
68.000000,0.038700,-0.000325
100.000000,0.049100,-0.000324
147.000000,0.064200,-0.000323
215.000000,0.085900,-0.000322
316.000000,0.118000,-0.000320
464.000000,0.164100,-0.000317
681.000000,0.230200,-0.000314
1000.000000,0.325500,-0.000309
1468.000000,0.459800,-0.000302
2154.000000,0.644000,-0.000293
3162.000000,0.899000,-0.000280
4642.000000,1.235000,-0.000263
6813.000000,1.656000,-0.000241
10000.000000,2.125000,-0.000211
14678.000000,2.582000,-0.000175
21544.000000,2.997000,-0.000138
31623.000000,3.347000,-0.000105
46416.000000,3.631000,-0.000078
68129.000000,3.857000,-0.000056
100000.000000,4.031000,-0.000040
146780.000000,4.163000,-0.000028
215443.000000,4.265000,-0.000020
316228.000000,4.341000,-0.000014
464159.000000,4.397000,-0.000009
681292.000000,4.436000,-0.000006
1000000.000000,4.464000,-0.000005
1467799.000000,4.483000,-0.000003
2154435.000000,4.494000,-0.000002
3162278.000000,4.503000,-0.000001
4641589.000000,4.509000,-0.000001
6812921.000000,4.511000,-0.000001
