U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.041800,-0.000330
0.100000,0.060900,-0.000330
0.200000,0.143500,-0.000320
0.300000,0.229700,-0.000320
0.400000,0.319500,-0.000310
0.500000,0.401300,-0.000310
0.600000,0.539800,-0.000300
0.700000,0.572000,-0.000300
0.800000,0.786000,-0.000300
0.900000,0.888000,-0.000290
1.000000,0.987000,-0.000280
1.100000,1.088000,-0.000280
1.200000,1.187000,-0.000270
1.300000,1.289000,-0.000270
1.400000,1.389000,-0.000270
1.500000,1.463000,-0.000260
1.600000,1.583000,-0.000250
1.700000,1.623000,-0.000250
1.800000,1.783000,-0.000240
1.900000,1.836000,-0.000240
2.000000,1.983000,-0.000230
2.100000,2.086000,-0.000220
2.200000,2.181000,-0.000220
2.300000,2.286000,-0.000210
2.400000,2.385000,-0.000200
2.500000,2.487000,-0.000190
2.600000,2.588000,-0.000180
2.700000,2.681000,-0.000180
2.800000,2.780000,-0.000170
2.900000,2.883000,-0.000160
3.000000,2.981000,-0.000150
3.100000,3.078000,-0.000140
3.200000,3.121000,-0.000130
3.300000,3.282000,-0.000120
3.400000,3.386000,-0.000110
3.500000,3.484000,-0.000110
3.600000,3.587000,-0.000090
3.700000,3.687000,-0.000090
3.800000,3.785000,-0.000080
3.900000,3.842000,-0.000070
4.000000,3.973000,-0.000050
4.100000,4.081000,-0.000050
4.200000,4.173000,-0.000040
4.300000,4.181000,-0.000030
4.400000,4.375000,-0.000020
4.500000,4.484000,-0.000010
4.600000,4.572000,0.000000
4.700000,4.618000,0.000000
4.800000,4.785000,0.000010
4.900000,4.888000,0.000010
5.000000,4.986000,0.000020
5.100000,5.049000,0.000050
5.200000,5.190000,0.000080
5.300000,5.270000,0.000130
5.400000,5.383000,0.000170
5.500000,5.475000,0.000280
5.600000,5.584000,0.000420
5.700000,5.652000,0.000560
5.800000,5.783000,0.000730
5.900000,5.887000,0.000960
6.000000,5.987000,0.001240
6.100000,5.987000,0.001630
6.200000,6.190000,0.002090
6.300000,6.190000,0.002800
6.400000,6.390000,0.003680
6.500000,6.390000,0.004840
6.600000,6.590000,0.006230
6.700000,6.680000,0.008160
6.800000,6.780000,0.010710
6.900000,6.830000,0.013970
7.000000,6.860000,0.013970
