U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.026700,-0.000334
0.100000,-0.017400,-0.000339
0.200000,-0.116600,-0.000344
0.300000,-0.226700,-0.000349
0.400000,-0.317100,-0.000353
0.500000,-0.427100,-0.000358
0.600000,-0.513500,-0.000363
0.700000,-0.587300,-0.000367
0.800000,-0.767000,-0.000370
0.900000,-0.867000,-0.000376
1.000000,-0.968000,-0.000378
1.100000,-1.068000,-0.000385
1.200000,-1.162000,-0.000389
1.300000,-1.269000,-0.000393
1.400000,-1.369000,-0.000396
1.500000,-1.463000,-0.000400
1.600000,-1.562000,-0.000403
1.700000,-1.657000,-0.000406
1.800000,-1.762000,-0.000408
1.900000,-1.864000,-0.000410
2.000000,-1.864000,-0.000413
2.100000,-2.064000,-0.000414
2.200000,-2.165000,-0.000415
2.300000,-2.264000,-0.000415
2.400000,-2.366000,-0.000416
2.500000,-2.460000,-0.000417
2.600000,-2.567000,-0.000417
2.700000,-2.657000,-0.000418
2.800000,-2.761000,-0.000418
2.900000,-2.859000,-0.000418
3.000000,-2.962000,-0.000419
3.100000,-3.059000,-0.000419
3.200000,-3.163000,-0.000419
3.300000,-3.260000,-0.000419
3.400000,-3.365000,-0.000420
3.500000,-3.466000,-0.000420
3.600000,-3.567000,-0.000420
3.700000,-3.668000,-0.000420
3.800000,-3.767000,-0.000420
3.900000,-3.869000,-0.000421
4.000000,-3.961000,-0.000421
4.100000,-4.062000,-0.000422
4.200000,-4.161000,-0.000422
4.300000,-4.259000,-0.000423
4.400000,-4.363000,-0.000423
4.500000,-4.464000,-0.000424
4.600000,-4.565000,-0.000424
4.700000,-4.661000,-0.000425
4.800000,-4.766000,-0.000426
4.900000,-4.866000,-0.000427
5.000000,-4.968000,-0.000427
5.100000,-4.980000,-0.000428
5.200000,-5.164000,-0.000429
5.300000,-5.262000,-0.000429
5.400000,-5.262000,-0.000430
5.500000,-5.447000,-0.000431
5.600000,-5.464000,-0.000432
5.700000,-5.658000,-0.000433
5.800000,-5.709000,-0.000434
5.900000,-5.863000,-0.000434
6.000000,-5.967000,-0.000437
6.100000,-5.967000,-0.000440
6.200000,-6.180000,-0.000440
6.300000,-6.210000,-0.000441
6.400000,-6.370000,-0.000443
6.500000,-6.480000,-0.000443
6.600000,-6.520000,-0.000445
6.700000,-6.610000,-0.000446
6.800000,-6.690000,-0.000448
6.900000,-6.880000,-0.000448
7.000000,-6.900000,-0.000450
