R Given (Ohm), U (V), I (A)
1.000000,0.021500,-0.000411
1.000000,0.021500,-0.000411
2.000000,0.021900,-0.000411
3.000000,0.022300,-0.000411
5.000000,0.023100,-0.000411
7.000000,0.023900,-0.000411
10.000000,0.025100,-0.000411
15.000000,0.027200,-0.000411
22.000000,0.030100,-0.000411
32.000000,0.034200,-0.000410
46.000000,0.039800,-0.000410
68.000000,0.048900,-0.000409
100.000000,0.061800,-0.000409
147.000000,0.081000,-0.000407
215.000000,0.108200,-0.000406
316.000000,0.148700,-0.000403
464.000000,0.207000,-0.000400
681.000000,0.290500,-0.000396
1000.000000,0.411100,-0.000390
1468.000000,0.580800,-0.000381
2154.000000,0.814000,-0.000369
3162.000000,1.132000,-0.000352
4642.000000,1.532000,-0.000326
6813.000000,1.989000,-0.000290
10000.000000,2.469000,-0.000245
14678.000000,2.919000,-0.000198
21544.000000,3.316000,-0.000153
31623.000000,3.648000,-0.000115
46416.000000,3.918000,-0.000084
68129.000000,4.134000,-0.000061
100000.000000,4.303000,-0.000043
146780.000000,4.432000,-0.000030
215443.000000,4.534000,-0.000021
316228.000000,4.612000,-0.000015
464159.000000,4.669000,-0.000010
681292.000000,4.709000,-0.000007
1000000.000000,4.737000,-0.000005
1467799.000000,4.755000,-0.000003
2154435.000000,4.768000,-0.000002
3162278.000000,4.776000,-0.000001
4641589.000000,4.781000,-0.000001
6812921.000000,4.784000,-0.000001
