U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.068600,-0.000430
0.100000,0.076300,-0.000430
0.200000,0.156600,-0.000420
0.300000,0.169000,-0.000420
0.400000,0.335400,-0.000410
0.500000,0.369700,-0.000400
0.600000,0.541900,-0.000400
0.700000,0.582100,-0.000390
0.800000,0.785000,-0.000390
0.900000,0.866000,-0.000400
1.000000,0.887000,-0.000380
1.100000,1.089000,-0.000380
1.200000,1.187000,-0.000370
1.300000,1.284000,-0.000360
1.400000,1.389000,-0.000360
1.500000,1.476000,-0.000360
1.600000,1.583000,-0.000350
1.700000,1.684000,-0.000340
1.800000,1.782000,-0.000330
1.900000,1.885000,-0.000330
2.000000,1.985000,-0.000310
2.100000,2.086000,-0.000310
2.200000,2.186000,-0.000300
2.300000,2.282000,-0.000280
2.400000,2.387000,-0.000280
2.500000,2.488000,-0.000270
2.600000,2.588000,-0.000250
2.700000,2.674000,-0.000250
2.800000,2.782000,-0.000230
2.900000,2.863000,-0.000230
3.000000,2.982000,-0.000210
3.100000,3.079000,-0.000200
3.200000,3.184000,-0.000180
3.300000,3.278000,-0.000180
3.400000,3.385000,-0.000170
3.500000,3.486000,-0.000150
3.600000,3.587000,-0.000140
3.700000,3.687000,-0.000130
3.800000,3.787000,-0.000120
3.900000,3.889000,-0.000110
4.000000,3.982000,-0.000100
4.100000,4.076000,-0.000090
4.200000,4.182000,-0.000080
4.300000,4.280000,-0.000060
4.400000,4.307000,-0.000060
4.500000,4.468000,-0.000040
4.600000,4.585000,-0.000030
4.700000,4.682000,-0.000020
4.800000,4.788000,-0.000010
4.900000,4.885000,0.000000
5.000000,4.989000,0.000000
5.100000,5.082000,0.000000
5.200000,5.190000,0.000020
5.300000,5.284000,0.000040
5.400000,5.384000,0.000100
5.500000,5.477000,0.000150
5.600000,5.586000,0.000330
5.700000,5.684000,0.000330
5.800000,5.787000,0.000470
5.900000,5.884000,0.000790
6.000000,5.987000,0.001180
6.100000,6.090000,0.001580
6.200000,6.190000,0.002100
6.300000,6.290000,0.002780
6.400000,6.320000,0.003690
6.500000,6.490000,0.004880
6.600000,6.520000,0.006320
6.700000,6.680000,0.008310
6.800000,6.740000,0.010910
6.900000,6.820000,0.014260
7.000000,6.910000,0.018490
