U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.032000,-0.000440
0.100000,-0.036100,-0.000444
0.200000,-0.117000,-0.000445
0.300000,-0.202300,-0.000450
0.400000,-0.311500,-0.000460
0.500000,-0.421500,-0.000465
0.600000,-0.505500,-0.000470
0.700000,-0.579000,-0.000474
0.800000,-0.762000,-0.000480
0.900000,-0.862000,-0.000485
1.000000,-0.862000,-0.000490
1.100000,-1.044000,-0.000494
1.200000,-1.092000,-0.000496
1.300000,-1.259000,-0.000504
1.400000,-1.363000,-0.000507
1.500000,-1.454000,-0.000508
1.600000,-1.557000,-0.000517
1.700000,-1.655000,-0.000521
1.800000,-1.758000,-0.000525
1.900000,-1.858000,-0.000528
2.000000,-1.957000,-0.000532
2.100000,-2.052000,-0.000535
2.200000,-2.159000,-0.000539
2.300000,-2.258000,-0.000540
2.400000,-2.360000,-0.000543
2.500000,-2.460000,-0.000544
2.600000,-2.561000,-0.000544
2.700000,-2.654000,-0.000545
2.800000,-2.755000,-0.000545
2.900000,-2.854000,-0.000546
3.000000,-2.956000,-0.000546
3.100000,-3.054000,-0.000546
3.200000,-3.157000,-0.000547
3.300000,-3.254000,-0.000547
3.400000,-3.343000,-0.000547
3.500000,-3.458000,-0.000548
3.600000,-3.560000,-0.000548
3.700000,-3.660000,-0.000549
3.800000,-3.758000,-0.000549
3.900000,-3.790000,-0.000549
4.000000,-3.952000,-0.000550
4.100000,-4.039000,-0.000550
4.200000,-4.101000,-0.000551
4.300000,-4.250000,-0.000552
4.400000,-4.283000,-0.000553
4.500000,-4.454000,-0.000553
4.600000,-4.503000,-0.000554
4.700000,-4.652000,-0.000555
4.800000,-4.685000,-0.000556
4.900000,-4.858000,-0.000556
5.000000,-4.961000,-0.000557
5.100000,-5.058000,-0.000558
5.200000,-5.146000,-0.000559
5.300000,-5.186000,-0.000559
5.400000,-5.349000,-0.000560
5.500000,-5.369000,-0.000561
5.600000,-5.547000,-0.000561
5.700000,-5.658000,-0.000562
5.800000,-5.743000,-0.000563
5.900000,-5.859000,-0.000564
6.000000,-5.960000,-0.000565
6.100000,-5.960000,-0.000567
6.200000,-6.170000,-0.000568
6.300000,-6.270000,-0.000570
6.400000,-6.370000,-0.000571
6.500000,-6.410000,-0.000571
6.600000,-6.470000,-0.000573
6.700000,-6.670000,-0.000574
6.800000,-6.680000,-0.000575
6.900000,-6.870000,-0.000576
7.000000,-6.970000,-0.000578
