U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.013400,-0.000110
0.100000,0.031200,-0.000110
0.200000,0.121000,-0.000110
0.300000,0.233200,-0.000110
0.400000,0.320500,-0.000110
0.500000,0.396200,-0.000110
0.600000,0.524700,-0.000110
0.700000,0.603500,-0.000100
0.800000,0.786000,-0.000100
0.900000,0.886000,-0.000100
1.000000,0.987000,-0.000100
1.100000,1.087000,-0.000090
1.200000,1.184000,-0.000090
1.300000,1.289000,-0.000090
1.400000,1.389000,-0.000090
1.500000,1.482000,-0.000090
1.600000,1.584000,-0.000090
1.700000,1.684000,-0.000090
1.800000,1.772000,-0.000080
1.900000,1.885000,-0.000080
2.000000,1.982000,-0.000070
2.100000,2.086000,-0.000070
2.200000,2.184000,-0.000060
2.300000,2.286000,-0.000060
2.400000,2.381000,-0.000050
2.500000,2.487000,-0.000050
2.600000,2.575000,-0.000040
2.700000,2.680000,-0.000040
2.800000,2.750000,-0.000040
2.900000,2.881000,-0.000030
3.000000,2.951000,-0.000030
3.100000,3.083000,-0.000020
3.200000,3.151000,-0.000020
3.300000,3.283000,-0.000010
3.400000,3.335000,0.000000
3.500000,3.480000,0.000000
3.600000,3.553000,0.000000
3.700000,3.685000,0.000000
3.800000,3.718000,0.000000
3.900000,3.883000,0.000010
4.000000,3.934000,0.000020
4.100000,4.080000,0.000020
4.200000,4.130000,0.000030
4.300000,4.281000,0.000040
4.400000,4.349000,0.000060
4.500000,4.482000,0.000080
4.600000,4.586000,0.000100
4.700000,4.684000,0.000110
4.800000,4.752000,0.000140
4.900000,4.886000,0.000160
5.000000,4.973000,0.000190
5.100000,5.089000,0.000240
5.200000,5.183000,0.000270
5.300000,5.282000,0.000310
5.400000,5.364000,0.000380
5.500000,5.484000,0.000450
5.600000,5.580000,0.000520
5.700000,5.685000,0.000770
5.800000,5.776000,0.000780
5.900000,5.796000,0.000950
6.000000,5.985000,0.001380
6.100000,5.985000,0.001440
6.200000,6.200000,0.001850
6.300000,6.220000,0.003010
6.400000,6.320000,0.003880
6.500000,6.490000,0.005040
6.600000,6.520000,0.006410
6.700000,6.610000,0.008350
6.800000,6.700000,0.010850
6.900000,6.810000,0.014080
7.000000,6.900000,0.018170
