U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.016000,-0.000119
0.100000,-0.008000,-0.000119
0.200000,-0.121700,-0.000119
0.300000,-0.206900,-0.000119
0.400000,-0.292000,-0.000119
0.500000,-0.412700,-0.000120
0.600000,-0.493400,-0.000120
0.700000,-0.577600,-0.000120
0.800000,-0.780000,-0.000121
0.900000,-0.863000,-0.000121
1.000000,-0.978000,-0.000121
1.100000,-1.057000,-0.000121
1.200000,-1.180000,-0.000121
1.300000,-1.265000,-0.000121
1.400000,-1.283000,-0.000121
1.500000,-1.451000,-0.000121
1.600000,-1.476000,-0.000121
1.700000,-1.660000,-0.000121
1.800000,-1.778000,-0.000122
1.900000,-1.872000,-0.000122
2.000000,-1.904000,-0.000122
2.100000,-2.077000,-0.000124
2.200000,-2.118000,-0.000123
2.300000,-2.180000,-0.000122
2.400000,-2.319000,-0.000122
2.500000,-2.475000,-0.000122
2.600000,-2.481000,-0.000122
2.700000,-2.582000,-0.000122
2.800000,-2.777000,-0.000121
2.900000,-2.796000,-0.000122
3.000000,-2.969000,-0.000123
3.100000,-3.020000,-0.000123
3.200000,-3.078000,-0.000123
3.300000,-3.215000,-0.000123
3.400000,-3.378000,-0.000122
3.500000,-3.481000,-0.000121
3.600000,-3.481000,-0.000121
3.700000,-3.682000,-0.000129
3.800000,-3.782000,-0.000129
3.900000,-3.884000,-0.000128
4.000000,-3.975000,-0.000128
4.100000,-4.074000,-0.000129
4.200000,-4.176000,-0.000129
4.300000,-4.274000,-0.000129
4.400000,-4.275000,-0.000130
4.500000,-4.446000,-0.000130
4.600000,-4.478000,-0.000130
4.700000,-4.677000,-0.000130
4.800000,-4.749000,-0.000130
4.900000,-4.881000,-0.000131
5.000000,-4.950000,-0.000131
5.100000,-4.998000,-0.000131
5.200000,-5.174000,-0.000131
5.300000,-5.277000,-0.000131
5.400000,-5.368000,-0.000131
5.500000,-5.477000,-0.000132
5.600000,-5.579000,-0.000132
5.700000,-5.680000,-0.000132
5.800000,-5.781000,-0.000132
5.900000,-5.880000,-0.000133
6.000000,-5.982000,-0.000133
6.100000,-5.983000,-0.000133
6.200000,-6.190000,-0.000133
6.300000,-6.230000,-0.000133
6.400000,-6.280000,-0.000134
6.500000,-6.410000,-0.000133
6.600000,-6.490000,-0.000134
6.700000,-6.690000,-0.000134
6.800000,-6.710000,-0.000134
6.900000,-6.890000,-0.000135
7.000000,-6.990000,-0.000135
