R Given (Ohm), U (V), I (A)
1.000000,0.007000,-0.000135
1.000000,0.007000,-0.000135
2.000000,0.007200,-0.000135
3.000000,0.007400,-0.000137
5.000000,0.007700,-0.000137
7.000000,0.007900,-0.000137
10.000000,0.008400,-0.000137
15.000000,0.009000,-0.000137
22.000000,0.010000,-0.000137
32.000000,0.011300,-0.000137
46.000000,0.013300,-0.000137
68.000000,0.016300,-0.000136
100.000000,0.020600,-0.000136
147.000000,0.026900,-0.000135
215.000000,0.036200,-0.000135
316.000000,0.050000,-0.000135
464.000000,0.070000,-0.000135
681.000000,0.099200,-0.000135
1000.000000,0.142200,-0.000135
1468.000000,0.204500,-0.000134
2154.000000,0.294100,-0.000133
3162.000000,0.425000,-0.000132
4642.000000,0.607000,-0.000129
6813.000000,0.855000,-0.000125
10000.000000,1.180000,-0.000117
14678.000000,1.571000,-0.000107
21544.000000,1.986000,-0.000092
31623.000000,2.375000,-0.000075
46416.000000,2.726000,-0.000059
68129.000000,3.005000,-0.000044
100000.000000,3.241000,-0.000032
146780.000000,3.421000,-0.000023
215443.000000,3.561000,-0.000016
316228.000000,3.656000,-0.000011
464159.000000,3.719000,-0.000008
681292.000000,3.761000,-0.000005
1000000.000000,3.789000,-0.000004
1467799.000000,3.807000,-0.000003
2154435.000000,3.823000,-0.000002
3162278.000000,3.830000,-0.000001
4641589.000000,3.841000,-0.000001
6812921.000000,3.837000,-0.000000
