R Given (Ohm), U (V), I (A)
1.000000,0.102900,-0.001971
1.000000,0.102900,-0.001972
2.000000,0.104900,-0.001971
3.000000,0.106900,-0.001971
5.000000,0.110700,-0.001971
7.000000,0.114600,-0.001969
10.000000,0.120500,-0.001967
15.000000,0.130100,-0.001966
22.000000,0.143800,-0.001963
32.000000,0.163100,-0.001959
46.000000,0.190000,-0.001954
68.000000,0.232100,-0.001946
100.000000,0.292800,-0.001935
147.000000,0.380500,-0.001917
215.000000,0.505200,-0.001892
316.000000,0.684000,-0.001858
464.000000,0.934000,-0.001809
681.000000,1.274000,-0.001739
1000.000000,1.731000,-0.001644
1468.000000,2.308000,-0.001517
2154.000000,2.988000,-0.001357
3162.000000,3.759000,-0.001170
4642.000000,4.598000,-0.000980
6813.000000,5.577000,-0.000812
10000.000000,6.280000,-0.000623
14678.000000,6.340000,-0.000429
21544.000000,6.360000,-0.000293
31623.000000,6.370000,-0.000200
46416.000000,6.380000,-0.000137
68129.000000,6.380000,-0.000093
100000.000000,6.380000,-0.000063
146780.000000,6.380000,-0.000043
215443.000000,6.380000,-0.000029
316228.000000,6.380000,-0.000020
464159.000000,6.380000,-0.000014
681292.000000,6.380000,-0.000009
1000000.000000,6.380000,-0.000006
1467799.000000,6.380000,-0.000004
2154435.000000,6.380000,-0.000003
3162278.000000,6.380000,-0.000002
4641589.000000,6.370000,-0.000001
6812921.000000,6.370000,-0.000001

