U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.241500,-0.001990
0.100000,0.241500,-0.001990
0.200000,0.241500,-0.001990
0.300000,0.262000,-0.001990
0.400000,0.345600,-0.001980
0.500000,0.432400,-0.001960
0.600000,0.525000,-0.001940
0.700000,0.592600,-0.001920
0.800000,0.789000,-0.001900
0.900000,0.888000,-0.001880
1.000000,0.990000,-0.001860
1.100000,1.087000,-0.001830
1.200000,1.190000,-0.001820
1.300000,1.289000,-0.001800
1.400000,1.363000,-0.001770
1.500000,1.484000,-0.001760
1.600000,1.578000,-0.001740
1.700000,1.685000,-0.001710
1.800000,1.782000,-0.001700
1.900000,1.886000,-0.001680
2.000000,1.974000,-0.001650
2.100000,2.088000,-0.001630
2.200000,2.187000,-0.001610
2.300000,2.275000,-0.001580
2.400000,2.387000,-0.001560
2.500000,2.489000,-0.001540
2.600000,2.581000,-0.001520
2.700000,2.682000,-0.001500
2.800000,2.738000,-0.001470
2.900000,2.884000,-0.001450
3.000000,2.981000,-0.001420
3.100000,3.085000,-0.001400
3.200000,3.183000,-0.001370
3.300000,3.287000,-0.001340
3.400000,3.380000,-0.001320
3.500000,3.488000,-0.001310
3.600000,3.588000,-0.001270
3.700000,3.689000,-0.001250
3.800000,3.790000,-0.001230
3.900000,3.890000,-0.001200
4.000000,3.984000,-0.001180
4.100000,4.084000,-0.001140
4.200000,4.184000,-0.001120
4.300000,4.284000,-0.001100
4.400000,4.385000,-0.001080
4.500000,4.485000,-0.001050
4.600000,4.588000,-0.001030
4.700000,4.688000,-0.001010
4.800000,4.785000,-0.000990
4.900000,4.889000,-0.000970
5.000000,4.988000,-0.000950
5.100000,5.090000,-0.000930
5.200000,5.190000,-0.000910
5.300000,5.285000,-0.000900
5.400000,5.382000,-0.000880
5.500000,5.486000,-0.000860
5.600000,5.583000,-0.000850
5.700000,5.688000,-0.000830
5.800000,5.788000,-0.000820
5.900000,5.889000,-0.000800
6.000000,5.989000,-0.000790
6.100000,5.989000,-0.000780
6.200000,6.200000,-0.000770
6.300000,6.300000,-0.000760
6.400000,6.400000,-0.000730
6.500000,6.500000,-0.000450
6.600000,6.530000,0.000560
6.700000,6.690000,0.003070
6.800000,6.730000,0.006930
6.900000,6.820000,0.006980
7.000000,6.890000,0.018280
