U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.120400,-0.001990
0.100000,0.073400,-0.002008
0.200000,-0.032200,-0.002025
0.300000,-0.113500,-0.002027
0.400000,-0.229500,-0.002040
0.500000,-0.338900,-0.002061
0.600000,-0.422200,-0.002089
0.700000,-0.501700,-0.002094
0.800000,-0.574300,-0.002134
0.900000,-0.777000,-0.002133
1.000000,-0.871000,-0.002159
1.100000,-0.975000,-0.002183
1.200000,-1.076000,-0.002200
1.300000,-1.173000,-0.002211
1.400000,-1.275000,-0.002234
1.500000,-1.366000,-0.002251
1.600000,-1.467000,-0.002267
1.700000,-1.566000,-0.002283
1.800000,-1.633000,-0.002285
1.900000,-1.765000,-0.002297
2.000000,-1.839000,-0.002333
2.100000,-1.964000,-0.002346
2.200000,-2.059000,-0.002351
2.300000,-2.164000,-0.002364
2.400000,-2.260000,-0.002398
2.500000,-2.365000,-0.002414
2.600000,-2.464000,-0.002431
2.700000,-2.548000,-0.002446
2.800000,-2.555000,-0.002461
2.900000,-2.754000,-0.002478
3.000000,-2.833000,-0.002494
3.100000,-2.856000,-0.002512
3.200000,-3.024000,-0.002518
3.300000,-3.153000,-0.002546
3.400000,-3.255000,-0.002563
3.500000,-3.269000,-0.002568
3.600000,-3.448000,-0.002593
3.700000,-3.506000,-0.002609
3.800000,-3.555000,-0.002627
3.900000,-3.738000,-0.002642
4.000000,-3.844000,-0.002660
4.100000,-3.932000,-0.002677
4.200000,-4.045000,-0.002677
4.300000,-4.128000,-0.002712
4.400000,-4.245000,-0.002727
4.500000,-4.334000,-0.002741
4.600000,-4.386000,-0.002745
4.700000,-4.543000,-0.002780
4.800000,-4.636000,-0.002796
4.900000,-4.745000,-0.002799
5.000000,-4.841000,-0.002813
5.100000,-4.945000,-0.002850
5.200000,-5.041000,-0.002853
5.300000,-5.111000,-0.002870
5.400000,-5.234000,-0.002886
5.500000,-5.328000,-0.002906
5.600000,-5.436000,-0.002942
5.700000,-5.536000,-0.002959
5.800000,-5.635000,-0.002959
5.900000,-5.735000,-0.002997
6.000000,-5.835000,-0.003018
6.100000,-5.931000,-0.003019
6.200000,-6.033000,-0.003038
6.300000,-6.033000,-0.003057
6.400000,-6.240000,-0.003098
6.500000,-6.340000,-0.003100
6.600000,-6.380000,-0.003119
6.700000,-6.400000,-0.003137
6.800000,-6.540000,-0.003178
6.900000,-6.730000,-0.003189
7.000000,-6.740000,-0.003153
