U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.000900,0.000000
0.100000,0.019000,0.000000
0.200000,0.092400,0.000000
0.300000,0.168500,0.000000
0.400000,0.323700,0.000000
0.500000,0.369000,0.000000
0.600000,0.480900,0.000010
0.700000,0.602600,0.000010
0.800000,0.742000,0.000020
0.900000,0.885000,0.000020
1.000000,0.978000,0.000040
1.100000,1.005000,0.000060
1.200000,1.170000,0.000090
1.300000,1.221000,0.000110
1.400000,1.375000,0.000170
1.500000,1.404000,0.000230
1.600000,1.574000,0.000290
1.700000,1.623000,0.000580
1.800000,1.682000,0.001020
1.900000,1.861000,0.001720
2.000000,1.882000,0.003190
2.100000,2.043000,0.006290
2.200000,2.164000,0.012580
2.300000,2.242000,0.024070
2.400000,2.281000,0.041770
2.500000,2.318000,0.041670
2.600000,2.431000,0.094100
2.700000,2.461000,0.123900
2.800000,2.519000,0.150000
2.900000,2.548000,0.158600
3.000000,2.592000,0.223900
