U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.001000,-0.000006
0.100000,-0.038700,-0.000006
0.200000,-0.108500,-0.000007
0.300000,-0.226400,-0.000007
0.400000,-0.305600,-0.000008
0.500000,-0.431800,-0.000009
0.600000,-0.513300,-0.000010
0.700000,-0.598300,-0.000011
0.800000,-0.772000,-0.000013
0.900000,-0.886000,-0.000013
1.000000,-0.979000,-0.000015
1.100000,-1.087000,-0.000016
1.200000,-1.180000,-0.000018
1.300000,-1.288000,-0.000019
1.400000,-1.381000,-0.000021
1.500000,-1.388000,-0.000022
1.600000,-1.581000,-0.000023
1.700000,-1.675000,-0.000025
1.800000,-1.782000,-0.000027
1.900000,-1.877000,-0.000029
2.000000,-1.984000,-0.000030
2.100000,-2.084000,-0.000032
2.200000,-2.184000,-0.000034
2.300000,-2.285000,-0.000034
2.400000,-2.383000,-0.000038
2.500000,-2.471000,-0.000038
2.600000,-2.586000,-0.000041
2.700000,-2.679000,-0.000045
2.800000,-2.779000,-0.000047
2.900000,-2.881000,-0.000049
3.000000,-2.981000,-0.000052
