R Given (Ohm), U (V), I (A)
1.000000,0.023700,-0.000455
1.000000,0.023700,-0.000454
2.000000,0.024200,-0.000454
3.000000,0.024600,-0.000453
5.000000,0.025500,-0.000453
7.000000,0.026300,-0.000452
10.000000,0.027600,-0.000451
15.000000,0.029800,-0.000451
22.000000,0.033000,-0.000450
32.000000,0.037500,-0.000449
46.000000,0.043600,-0.000449
68.000000,0.053400,-0.000448
100.000000,0.067600,-0.000447
147.000000,0.088400,-0.000445
215.000000,0.118400,-0.000443
316.000000,0.162800,-0.000441
464.000000,0.227000,-0.000439
681.000000,0.319400,-0.000435
1000.000000,0.454500,-0.000431
1468.000000,0.648000,-0.000426
2154.000000,0.928000,-0.000421
3162.000000,1.340000,-0.000417
4642.000000,1.601000,-0.000341
6813.000000,1.668000,-0.000243
10000.000000,1.700000,-0.000169
14678.000000,1.719000,-0.000116
21544.000000,1.730000,-0.000080
31623.000000,1.737000,-0.000055
46416.000000,1.742000,-0.000037
68129.000000,1.745000,-0.000025
100000.000000,1.746000,-0.000017
146780.000000,1.748000,-0.000012
215443.000000,1.748000,-0.000008
316228.000000,1.749000,-0.000005
464159.000000,1.749000,-0.000004
681292.000000,1.750000,-0.000003
1000000.000000,1.750000,-0.000002
1467799.000000,1.750000,-0.000001
2154435.000000,1.750000,-0.000001
3162278.000000,1.750000,-0.000000
4641589.000000,1.750000,-0.000000
6812921.000000,1.750000,-0.000000
