U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.056700,-0.000450
0.100000,0.065800,-0.000450
0.200000,0.094900,-0.000450
0.300000,0.217800,-0.000450
0.400000,0.297200,-0.000450
0.500000,0.420600,-0.000450
0.600000,0.467900,-0.000440
0.700000,0.594900,-0.000440
0.800000,0.722000,-0.000440
0.900000,0.885000,-0.000430
1.000000,0.987000,-0.000440
1.100000,1.082000,-0.000430
1.200000,1.166000,-0.000430
1.300000,1.285000,-0.000430
1.400000,1.300000,-0.000430
1.500000,1.477000,-0.000420
1.600000,1.583000,-0.000400
1.700000,1.680000,-0.000260
1.800000,1.698000,0.000020
1.900000,1.877000,0.000730
2.000000,1.948000,0.002130
2.100000,2.008000,0.005260
2.200000,2.153000,0.011600
2.300000,2.166000,0.023040
2.400000,2.302000,0.040780
2.500000,2.319000,0.040630
2.600000,2.426000,0.093100
2.700000,2.433000,0.122500
2.800000,2.517000,0.154600
2.900000,2.548000,0.193900
3.000000,2.593000,0.219700
