U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.033700,-0.000472
0.100000,-0.022200,-0.000476
0.200000,-0.103500,-0.000483
0.300000,-0.190900,-0.000489
0.400000,-0.308500,-0.000490
0.500000,-0.398900,-0.000507
0.600000,-0.511000,-0.000510
0.700000,-0.596800,-0.000519
0.800000,-0.758000,-0.000539
0.900000,-0.758000,-0.000559
1.000000,-0.921000,-0.000579
1.100000,-0.958000,-0.000600
1.200000,-1.132000,-0.000625
1.300000,-1.254000,-0.000655
1.400000,-1.347000,-0.000685
1.500000,-1.446000,-0.000719
1.600000,-1.542000,-0.000751
1.700000,-1.644000,-0.000787
1.800000,-1.742000,-0.000817
1.900000,-1.842000,-0.000846
2.000000,-1.941000,-0.000874
2.100000,-2.037000,-0.000904
2.200000,-2.139000,-0.000932
2.300000,-2.236000,-0.000958
2.400000,-2.337000,-0.000982
2.500000,-2.435000,-0.000978
2.600000,-2.537000,-0.000999
2.700000,-2.627000,-0.001014
2.800000,-2.729000,-0.001036
2.900000,-2.829000,-0.001033
3.000000,-2.930000,-0.001042
