U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.096400,-0.000780
0.100000,0.096200,-0.000770
0.200000,0.144700,-0.000770
0.300000,0.224800,-0.000770
0.400000,0.340800,-0.000770
0.500000,0.426300,-0.000760
0.600000,0.470500,-0.000770
0.700000,0.581900,-0.000760
0.800000,0.690000,-0.000750
0.900000,0.843000,-0.000750
1.000000,0.888000,-0.000750
1.100000,1.083000,-0.000740
1.200000,1.125000,-0.000740
1.300000,1.288000,-0.000740
1.400000,1.377000,-0.000740
1.500000,1.440000,-0.000740
1.600000,1.483000,-0.000720
1.700000,1.654000,-0.000690
1.800000,1.685000,-0.000390
1.900000,1.871000,0.000240
2.000000,1.901000,0.001690
2.100000,2.074000,0.004850
2.200000,2.167000,0.011260
2.300000,2.247000,0.019600
2.400000,2.319000,0.040710
2.500000,2.377000,0.040830
2.600000,2.433000,0.085300
2.700000,2.471000,0.122800
2.800000,2.519000,0.122800
2.900000,2.558000,0.194300
3.000000,2.592000,0.212100
