U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.046400,-0.000720
0.100000,-0.016300,-0.000720
0.200000,-0.093000,-0.000724
0.300000,-0.207500,-0.000727
0.400000,-0.298100,-0.000731
0.500000,-0.386400,-0.000736
0.600000,-0.511800,-0.000741
0.700000,-0.601500,-0.000744
0.800000,-0.749000,-0.000752
0.900000,-0.844000,-0.000756
1.000000,-0.948000,-0.000765
1.100000,-1.047000,-0.000772
1.200000,-1.147000,-0.000784
1.300000,-1.246000,-0.000795
1.400000,-1.347000,-0.000806
1.500000,-1.438000,-0.000843
1.600000,-1.535000,-0.000866
1.700000,-1.549000,-0.000896
1.800000,-1.731000,-0.000925
1.900000,-1.761000,-0.000961
2.000000,-1.931000,-0.000995
2.100000,-1.973000,-0.001033
2.200000,-2.120000,-0.001067
2.300000,-2.131000,-0.001101
2.400000,-2.313000,-0.001131
2.500000,-2.331000,-0.001157
2.600000,-2.526000,-0.001182
2.700000,-2.594000,-0.001203
2.800000,-2.620000,-0.001211
2.900000,-2.800000,-0.001247
3.000000,-2.918000,-0.001252
