R Given (Ohm), U (V), I (A)
1.000000,0.039200,-0.000749
1.000000,0.039000,-0.000747
2.000000,0.039500,-0.000743
3.000000,0.040000,-0.000735
5.000000,0.041200,-0.000733
7.000000,0.042500,-0.000730
10.000000,0.044500,-0.000728
15.000000,0.048000,-0.000725
22.000000,0.052800,-0.000721
32.000000,0.059900,-0.000719
46.000000,0.069600,-0.000717
68.000000,0.085100,-0.000714
100.000000,0.107500,-0.000711
147.000000,0.140400,-0.000706
215.000000,0.187500,-0.000703
316.000000,0.256400,-0.000699
464.000000,0.356700,-0.000690
681.000000,0.502000,-0.000684
1000.000000,0.715000,-0.000678
1468.000000,1.024000,-0.000673
2154.000000,1.460000,-0.000662
3162.000000,1.662000,-0.000517
4642.000000,1.719000,-0.000366
6813.000000,1.747000,-0.000255
10000.000000,1.764000,-0.000175
14678.000000,1.774000,-0.000120
21544.000000,1.781000,-0.000082
31623.000000,1.785000,-0.000056
46416.000000,1.789000,-0.000038
68129.000000,1.790000,-0.000026
100000.000000,1.792000,-0.000018
146780.000000,1.793000,-0.000012
215443.000000,1.793000,-0.000008
316228.000000,1.794000,-0.000006
464159.000000,1.794000,-0.000004
681292.000000,1.795000,-0.000003
1000000.000000,1.795000,-0.000002
1467799.000000,1.795000,-0.000001
2154435.000000,1.795000,-0.000001
3162278.000000,1.795000,-0.000000
4641589.000000,1.795000,-0.000000
6812921.000000,1.795000,-0.000000
