R Given (Ohm), U (V), I (A)
1.000000,0.015500,-0.000297
1.000000,0.015500,-0.000296
2.000000,0.015700,-0.000296
3.000000,0.016000,-0.000294
5.000000,0.016500,-0.000298
7.000000,0.017400,-0.000300
10.000000,0.017400,-0.000296
15.000000,0.019700,-0.000295
22.000000,0.021800,-0.000298
32.000000,0.024600,-0.000300
46.000000,0.029300,-0.000300
68.000000,0.035600,-0.000300
100.000000,0.045400,-0.000300
147.000000,0.059700,-0.000301
215.000000,0.080400,-0.000301
316.000000,0.111200,-0.000299
464.000000,0.155700,-0.000300
681.000000,0.219900,-0.000299
1000.000000,0.314600,-0.000298
1468.000000,0.449200,-0.000296
2154.000000,0.646000,-0.000293
3162.000000,0.935000,-0.000291
4642.000000,1.208000,-0.000257
6813.000000,1.337000,-0.000196
10000.000000,1.420000,-0.000141
14678.000000,1.464000,-0.000099
21544.000000,1.491000,-0.000069
31623.000000,1.509000,-0.000048
46416.000000,1.520000,-0.000033
68129.000000,1.528000,-0.000022
100000.000000,1.533000,-0.000015
146780.000000,1.536000,-0.000010
215443.000000,1.539000,-0.000007
316228.000000,1.539000,-0.000005
464159.000000,1.533000,-0.000003
681292.000000,1.534000,-0.000002
1000000.000000,1.535000,-0.000001
1467799.000000,1.536000,-0.000001
2154435.000000,1.538000,-0.000001
3162278.000000,1.534000,-0.000000
4641589.000000,1.537000,-0.000000
6812921.000000,1.537000,-0.000000
