U in V (soll), U in V (mess), I in mA (mess)
0.000000,0.034600,-0.000270
0.100000,0.059700,-0.000270
0.200000,0.122100,-0.000270
0.300000,0.225800,-0.000260
0.400000,0.308100,-0.000260
0.500000,0.387300,-0.000260
0.600000,0.525700,-0.000260
0.700000,0.568300,-0.000260
0.800000,0.755000,-0.000260
0.900000,0.888000,-0.000260
1.000000,0.970000,-0.000250
1.100000,1.087000,-0.000250
1.200000,1.180000,-0.000240
1.300000,1.289000,-0.000200
1.400000,1.382000,-0.000160
1.500000,1.482000,-0.000110
1.600000,1.565000,0.000050
1.700000,1.683000,0.000230
1.800000,1.778000,0.000270
1.900000,1.816000,0.001290
2.000000,1.978000,0.002750
2.100000,2.054000,0.005730
2.200000,2.166000,0.011860
2.300000,2.245000,0.023030
2.400000,2.282000,0.040500
2.500000,2.376000,0.040500
2.600000,2.423000,0.089900
2.700000,2.436000,0.122100
2.800000,2.515000,0.156900
2.900000,2.520000,0.193700
3.000000,2.593000,0.199700
