U in V (soll), U in V (mess), I in mA (mess)
0.000000,-0.772000,-0.000267
0.100000,0.009700,-0.000248
0.200000,-0.103500,-0.000250
0.300000,-0.209500,-0.000254
0.400000,-0.290500,-0.000270
0.500000,-0.406400,-0.000277
0.600000,-0.523700,-0.000280
0.700000,-0.559900,-0.000291
0.800000,-0.770000,-0.000293
0.900000,-0.871000,-0.000298
1.000000,-0.972000,-0.000304
1.100000,-1.072000,-0.000319
1.200000,-1.171000,-0.000325
1.300000,-1.273000,-0.000332
1.400000,-1.368000,-0.000342
1.500000,-1.465000,-0.000348
1.600000,-1.564000,-0.000354
1.700000,-1.666000,-0.000359
1.800000,-1.766000,-0.000361
1.900000,-1.862000,-0.000364
2.000000,-1.966000,-0.000368
2.100000,-2.066000,-0.000366
2.200000,-2.153000,-0.000383
2.300000,-2.267000,-0.000385
2.400000,-2.358000,-0.000379
2.500000,-2.469000,-0.000382
2.600000,-2.564000,-0.000385
2.700000,-2.596000,-0.000387
2.800000,-2.762000,-0.000389
2.900000,-2.862000,-0.000390
3.000000,-2.954000,-0.000392
