R Given (Ohm), U (V), I (A)
1.000000,0.060800,-0.022730
2.000000,0.083500,-0.022730
3.000000,0.106000,-0.022740
5.000000,0.151900,-0.022730
7.000000,0.197300,-0.022740
10.000000,0.266100,-0.022790
15.000000,0.379800,-0.022830
22.000000,0.539700,-0.022800
32.000000,0.765000,-0.022800
46.000000,1.081000,-0.022780
68.000000,1.581000,-0.022770
100.000000,2.051000,-0.020240
147.000000,2.125000,-0.014310
215.000000,2.154000,-0.009960
316.000000,2.170000,-0.006830
464.000000,2.179000,-0.004680
681.000000,2.185000,-0.003210
1000.000000,2.188000,-0.002180
1468.000000,2.190000,-0.001490
2154.000000,2.191000,-0.001020
3162.000000,2.191000,-0.000690
4642.000000,2.191000,-0.000470
6813.000000,2.191000,-0.000310
10000.000000,2.190000,-0.000220
14678.000000,2.190000,-0.000140
21544.000000,2.188000,-0.000090
31623.000000,2.188000,-0.000060
46416.000000,2.187000,-0.000040
68129.000000,2.186000,-0.000030
100000.000000,2.186000,-0.000020
146780.000000,2.183000,-0.000010
215443.000000,2.183000,-0.000010
316228.000000,2.172000,-0.000007
464159.000000,2.172000,-0.000005
681292.000000,2.171000,-0.000003
1000000.000000,2.171000,-0.000002
1467799.000000,2.170000,-0.000001
2154435.000000,2.169000,-0.000001
3162278.000000,2.168000,-0.000001
4641589.000000,2.168000,-0.000000
6812921.000000,2.167000,-0.000000
