U in V (soll), U in V (mess), I in mA (mess)
0.000000,2.134000,-0.018170
0.100000,2.133000,-0.018170
0.200000,2.133000,-0.018160
0.300000,2.133000,-0.018170
0.400000,2.133000,-0.018170
0.500000,2.133000,-0.018170
0.600000,2.132000,-0.018170
0.700000,2.132000,-0.018170
0.800000,2.131000,-0.018160
0.900000,2.131000,-0.018160
1.000000,2.131000,-0.018160
1.100000,2.130000,-0.018160
1.200000,2.130000,-0.018160
1.300000,2.130000,-0.018160
1.400000,2.130000,-0.018160
1.500000,2.129000,-0.018160
1.600000,2.129000,-0.018150
1.700000,2.129000,-0.018150
1.800000,2.129000,-0.018160
1.900000,2.128000,-0.018150
2.000000,2.128000,-0.018150
2.100000,2.128000,-0.018150
2.200000,2.127000,-0.009060
2.300000,2.272000,-0.006110
2.400000,2.333000,0.031900
2.500000,2.388000,0.050510
2.600000,2.389000,0.060310
2.700000,2.435000,0.124700
2.800000,2.492000,0.138800
2.900000,2.549000,0.199900
3.000000,2.571000,0.224100
