U in V (soll), U in V (mess), I in mA (mess)
0.000000,-0.114700,-0.023150
0.100000,-0.036500,-0.023100
0.200000,-0.102300,-0.023100
0.300000,-0.179100,-0.023100
0.400000,-0.300800,-0.023100
0.500000,-0.384800,-0.023140
0.600000,-0.507600,-0.023160
0.700000,-0.552300,-0.023200
0.800000,-1.093000,-0.023240
0.900000,-0.847000,-0.023280
1.000000,-0.935000,-0.023300
1.100000,-1.001000,-0.023380
1.200000,-1.144000,-0.023440
1.300000,-1.250000,-0.023490
1.400000,-1.345000,-0.023570
1.500000,-1.444000,-0.023650
1.600000,-1.544000,-0.023690
1.700000,-1.640000,-0.023790
1.800000,-1.746000,-0.023830
1.900000,-1.844000,-0.023910
2.000000,-1.946000,-0.023970
2.100000,-2.047000,-0.023970
2.200000,-2.147000,-0.023990
2.300000,-2.240000,-0.023980
2.400000,-2.348000,-0.023980
2.500000,-2.444000,-0.024000
2.600000,-2.550000,-0.024040
2.700000,-2.635000,-0.024060
2.800000,-2.743000,-0.024120
2.900000,-2.840000,-0.024120
3.000000,-2.856000,-0.024140
